blockNumber,min_min,max_max,total_difference
12025117,1767.3113,1770.0621,2.7508000000000266
12025210,1778.261,1779.9363,1.6753000000001066
12025550,1766.0353,1770.5703,4.535000000000082
12025587,1748.9419,1758.9084,9.966499999999996
12025715,1744.5901,1749.9335,5.3434000000002015
12025774,1731.956,1739.1827,7.226700000000164
12026069,1739.8587,1745.8917,6.032999999999902
12026103,1740.8625,1741.9815,1.1190000000001419
12026122,1740.8199,1746.4022,5.582300000000032
12026152,1750.3252,1758.7074,8.382200000000012
12026885,1746.6947,1755.9041,9.20939999999996
12026929,1743.3459,1745.147,1.8010999999999058
12027487,1740.4887,1746.6161,6.127399999999852
12027719,1749.0264,1750.2324,1.206000000000131
12028147,1762.9638,1764.5323,1.5685000000000855
12028163,1767.2064,1769.7116,2.505200000000059
12028946,1779.5208,1782.5277,3.006900000000087
12029146,1786.1358,1789.3997,3.2638999999999214
12029589,1789.3729,1805.626,16.253099999999904
12029601,1803.8692,1812.3261,8.456899999999905
12029617,1809.3913,1813.457,4.065700000000106
12029649,1818.9734,1827.5999,8.62649999999985
12029671,1831.8594,1840.2495,8.390099999999848
12029798,1844.1766,1857.388,13.211399999999912
12029809,1856.0836,1868.2029,12.119300000000067
12029816,1862.9834,1866.0399,3.0564999999999145
12030167,1889.005,1893.6991,4.694099999999935
12030394,1869.4584,1887.1421,17.683700000000044
12031080,1877.4754,1882.3543,4.8788999999999305
12031416,1881.5987,1882.1843,0.5855999999998858
12031745,1909.6157,1917.2286,7.612899999999854
12032269,1921.1189,1932.5215,11.40260000000012
12032327,1935.4229,1937.0436,1.6206999999999425
12032552,1926.016,1928.7127,2.6966999999999643
12032596,1897.7664,1927.6664,29.90000000000009
12032606,1899.8577,1903.1121,3.2544000000000324
12033032,1908.2463,1915.0657,6.819400000000087
12033117,1919.1416,1923.6663,4.524700000000166
12033201,1932.7902,1935.6031,2.812900000000127
12033271,1927.1762,1931.9846,4.808399999999892
12033550,1921.6079,1922.2851,0.6772000000000844
12033622,1906.9362,1913.5654,6.629199999999855
12033710,1897.0633,1898.0745,1.011199999999917
12033799,1903.3184,1907.2439,3.925499999999829
12034336,1910.4251,1916.1936,5.768500000000131
12034436,1906.9259,1913.1801,6.254200000000083
12034761,1899.5454,1900.6941,1.1486999999999625
12035024,1891.1671,1893.1818,2.0147000000001754
12035257,1893.8738,1895.396,1.5221999999998843
12035491,1890.7029,1891.8456,1.1427000000001044
12035697,1892.1504,1896.6222,4.47180000000003
12035921,1900.2163,1903.7517,3.5353999999999814
12036067,1897.3303,1902.2786,4.9483000000000175
12036162,1885.4111,1892.2476,6.836499999999887
12036215,1868.5128,1879.368,10.855199999999968
12036340,1862.2224,1868.9656,6.743199999999888
12036498,1868.5895,1869.0867,0.49720000000002074
12036925,1872.5539,1875.6522,3.098299999999881
12036977,1859.2406,1867.3539,8.113299999999981
12037137,1866.994,1872.0155,5.02150000000006
12037407,1865.6637,1866.4099,0.7462000000000444
12037473,1851.3803,1855.1193,3.7390000000000327
12037735,1855.146,1864.9709,9.82490000000007
12037811,1850.959,1859.8049,8.845900000000029
12038203,1859.3468,1860.5636,1.216799999999921
12038298,1866.9842,1867.6996,0.7153999999998177
12039106,1872.4034,1874.1626,1.7592000000001917
12039401,1870.6495,1877.7391,7.0896000000000186
12039661,1884.3145,1885.4061,1.0915999999999713
12039800,1870.8921,1883.1919,12.299800000000005
12039858,1854.7111,1859.634,4.922900000000027
12039860,1854.7111,1855.5961,0.8849999999999909
12040051,1872.2841,1875.7379,3.453800000000001
12040370,1879.7575,1886.36,6.602499999999964
12041035,1869.0431,1873.0783,4.035199999999804
12041091,1866.8258,1870.1114,3.2855999999999312
12041333,1858.7351,1859.6502,0.9150999999999385
12041419,1847.599,1850.8714,3.2724000000000615
12041587,1808.9976,1819.8259,10.828300000000127
12041793,1786.4309,1791.7038,5.272899999999936
12041818,1781.9681,1787.6599,5.6918000000000575
12041837,1795.3773,1804.9113,9.533999999999878
12042219,1789.9721,1793.5566,3.5844999999999345
12042346,1753.373,1769.7247,16.351699999999937
12042384,1754.9315,1766.2446,11.313100000000077
12042447,1747.5357,1749.7275,2.1918000000000575
12042517,1756.7214,1761.3191,4.597700000000032
12042554,1766.711,1771.2865,4.57549999999992
12042778,1772.7271,1777.9585,5.231399999999894
12043824,1787.4866,1790.9636,3.477000000000089
12044035,1774.6129,1781.5356,6.92269999999985
12044128,1761.1423,1762.7725,1.630200000000059
12044156,1769.6244,1773.2133,3.588899999999967
12044447,1766.2936,1767.2404,0.9467999999999392
12044786,1770.5815,1774.4287,3.84719999999993
12044927,1780.0401,1782.0499,2.009800000000041
12045376,1800.7521,1804.0503,3.298200000000179
12045420,1792.7458,1794.517,1.7712000000001353
12045903,1780.5675,1787.4776,6.910099999999829
12046055,1788.4999,1794.4836,5.983699999999999
12046164,1798.0678,1803.0316,4.963799999999992
12046252,1789.9614,1794.8393,4.8779000000001815
12046420,1764.8913,1780.1301,15.238800000000083
12046423,1762.4598,1768.4658,6.005999999999858
12046436,1756.4761,1762.2194,5.743299999999863
12046500,1746.0286,1753.1088,7.080199999999877
12046540,1729.6228,1736.759,7.136199999999917
12046575,1718.5337,1728.7253,10.191600000000108
12046595,1714.2198,1721.8954,7.675600000000031
12046674,1723.6839,1730.9222,7.238299999999981
12046765,1737.2509,1740.1258,2.874900000000025
12046820,1744.2891,1749.195,4.905899999999974
12047219,1741.4692,1742.8747,1.4055000000000746
12047464,1747.4697,1747.7167,0.24699999999984357
12047845,1743.0956,1743.7438,0.6481999999998607
