blockNumber,wd_min,wd_max,wd_difference
12025117,1770.0621,1770.0621,0.0
12025210,1778.7445,1778.7962,0.05169999999998254
12025550,,,
12025587,1753.9106,1758.9084,4.9978000000000975
12025715,,,
12025774,1732.2869,1739.1827,6.895800000000008
12026069,1745.011,1745.3897,0.3786999999999807
12026103,1741.4366,1741.9815,0.5449000000000979
12026122,1740.8199,1745.7839,4.963999999999942
12026152,1751.2605,1756.7787,5.518199999999979
12026885,1747.0819,1755.9041,8.822200000000066
12026929,,,
12027487,1740.4887,1743.0591,2.570399999999836
12027719,,,
12028147,1762.9638,1764.5323,1.5685000000000855
12028163,1769.2194,1769.2683,0.048900000000003274
12028946,1779.5208,1782.5277,3.006900000000087
12029146,1786.9709,1789.3997,2.42879999999991
12029589,1789.3729,1805.626,16.253099999999904
12029601,1807.8696,1812.3261,4.4565000000000055
12029617,1813.3393,1813.457,0.11770000000001346
12029649,1822.5423,1823.7107,1.1684000000000196
12029671,1835.7332,1840.2495,4.516300000000001
12029798,1845.4526,1857.388,11.935399999999845
12029809,1856.0836,1865.617,9.533400000000029
12029816,1865.5704,1865.5704,0.0
12030167,1889.005,1889.005,0.0
12030394,1869.4584,1881.6806,12.22219999999993
12031080,1877.8827,1878.3179,0.4351999999998952
12031416,1882.1578,1882.1578,0.0
12031745,1917.0721,1917.2286,0.15649999999982356
12032269,1929.8287,1932.5215,2.692800000000034
12032327,1935.4229,1936.2854,0.8624999999999545
12032552,1928.7127,1928.7127,0.0
12032596,1897.7664,1915.5404,17.774000000000115
12032606,1899.8577,1902.806,2.9483000000000175
12033032,,,
12033117,1919.1416,1922.4381,3.296500000000151
12033201,1935.6031,1935.6031,0.0
12033271,1930.0137,1931.9846,1.9709000000000287
12033550,,,
12033622,1906.9362,1910.4988,3.562599999999975
12033710,1897.0633,1897.1862,0.1229000000000724
12033799,1906.176,1907.2439,1.0679000000000087
12034336,1916.1936,1916.1936,0.0
12034436,,,
12034761,,,
12035024,1891.3399,1891.4483,0.10840000000007421
12035257,1893.8738,1893.9038,0.029999999999972715
12035491,1891.2059,1891.4694,0.26350000000002183
12035697,1896.6222,1896.6222,0.0
12035921,1900.2163,1900.4423,0.2259999999998854
12036067,,,
12036162,1885.4111,1885.5857,0.17460000000005493
12036215,1879.368,1879.368,0.0
12036340,1862.2735,1866.3719,4.098400000000083
12036498,,,
12036925,,,
12036977,1862.2078,1862.5373,0.32950000000005275
12037137,1870.398,1870.398,0.0
12037407,1865.848,1865.8677,0.019700000000057116
12037473,1851.3803,1855.1193,3.7390000000000327
12037735,1859.3967,1864.9709,5.574200000000019
12037811,1855.0892,1857.5298,2.4406000000001313
12038203,1860.5636,1860.5636,0.0
12038298,1866.9842,1866.9842,0.0
12039106,1874.074,1874.1626,0.0886000000000422
12039401,1874.338,1874.4528,0.1148000000000593
12039661,,,
12039800,1875.0921,1880.4269,5.334799999999859
12039858,1855.0082,1857.1895,2.1812999999999647
12039860,1855.042,1855.042,0.0
12040051,1874.2271,1874.2271,0.0
12040370,1881.9604,1883.0788,1.1184000000000651
12041035,1869.1225,1873.0783,3.955799999999954
12041091,1866.8258,1866.8748,0.04899999999997817
12041333,1859.4863,1859.4863,0.0
12041419,1848.4196,1850.8714,2.4518000000000484
12041587,1811.1234,1819.8259,8.7025000000001
12041793,1788.3987,1791.7038,3.3051000000000386
12041818,1787.1087,1787.6235,0.5147999999999229
12041837,1800.0559,1802.009,1.9530999999999494
12042219,1791.1679,1791.1679,0.0
12042346,1753.373,1768.9755,15.602499999999964
12042384,,,
12042447,1747.5357,1747.5357,0.0
12042517,1760.1589,1760.3762,0.21730000000002292
12042554,1766.8711,1771.2489,4.377799999999979
12042778,1777.8995,1777.9585,0.05899999999996908
12043824,,,
12044035,,,
12044128,1762.6864,1762.7725,0.08609999999998763
12044156,1769.7849,1773.2133,3.428399999999783
12044447,,,
12044786,1770.5815,1774.0851,3.503600000000006
12044927,1780.0401,1782.0499,2.009800000000041
12045376,1804.0503,1804.0503,0.0
12045420,,,
12045903,1787.4776,1787.4776,0.0
