blockNumber,wd_min,wd_max,wd_difference
12025117,1767.3113,1769.83,2.5186999999998534
12025210,1778.261,1779.9363,1.6753000000001066
12025550,1766.0353,1770.5703,4.535000000000082
12025587,1748.9419,1757.5888,8.64689999999996
12025715,1744.5901,1749.9335,5.3434000000002015
12025774,1731.956,1737.8066,5.850599999999986
12026069,1739.8587,1745.8917,6.032999999999902
12026103,1740.8625,1741.5845,0.72199999999998
12026122,1741.7833,1746.4022,4.61889999999994
12026152,1750.3252,1758.7074,8.382200000000012
12026885,1746.6947,1755.7733,9.078600000000051
12026929,1743.3459,1745.147,1.8010999999999058
12027487,1745.468,1746.6161,1.1480999999998858
12027719,1749.0264,1750.2324,1.206000000000131
12028147,1763.7318,1764.3394,0.6076000000000477
12028163,1767.2064,1769.7116,2.505200000000059
12028946,1780.9397,1781.7031,0.7634000000000469
12029146,1786.1358,1786.6942,0.5583999999998923
12029589,1789.4841,1804.3699,14.885800000000017
12029601,1803.8692,1811.271,7.4017999999998665
12029617,1809.3913,1813.3895,3.998199999999997
12029649,1818.9734,1827.5999,8.62649999999985
12029671,1831.8594,1840.1532,8.29379999999992
12029798,1844.1766,1856.9619,12.785300000000007
12029809,1856.1143,1868.2029,12.088600000000042
12029816,1862.9834,1866.0399,3.0564999999999145
12030167,1889.3734,1893.6991,4.325700000000097
12030394,1875.4459,1887.1421,11.69620000000009
12031080,1877.4754,1882.3543,4.8788999999999305
12031416,1881.5987,1882.1843,0.5855999999998858
12031745,1909.6157,1911.9532,2.3374999999998636
12032269,1921.1189,1928.8116,7.692700000000059
12032327,1935.8746,1937.0436,1.168999999999869
12032552,1926.016,1927.8236,1.8075999999998658
12032596,1902.0973,1927.6664,25.569100000000162
12032606,1901.4416,1903.1121,1.6704999999999472
12033032,1908.2463,1915.0657,6.819400000000087
12033117,1919.1417,1923.6663,4.524600000000191
12033201,1932.7902,1933.2856,0.4954000000000178
12033271,1927.1762,1930.1945,3.018299999999954
12033550,1921.6079,1922.2851,0.6772000000000844
12033622,1907.471,1913.5654,6.0943999999999505
12033710,1897.5009,1898.0745,0.5735999999999422
12033799,1903.3184,1905.9248,2.606399999999894
12034336,1910.4251,1912.3129,1.8877999999999702
12034436,1906.9259,1913.1801,6.254200000000083
12034761,1899.5454,1900.6941,1.1486999999999625
12035024,1891.1671,1893.1818,2.0147000000001754
12035257,1894.4285,1895.396,0.9674999999999727
12035491,1890.7029,1891.8456,1.1427000000001044
12035697,1892.1504,1894.3797,2.2292999999999665
12035921,1901.6427,1903.7517,2.1089999999999236
12036067,1897.3303,1902.2786,4.9483000000000175
12036162,1885.7073,1892.2476,6.540299999999888
12036215,1868.5128,1874.4855,5.972700000000032
12036340,1862.2224,1868.9656,6.743199999999888
12036498,1868.5895,1869.0867,0.49720000000002074
12036925,1872.5539,1875.6522,3.098299999999881
12036977,1859.2406,1867.3539,8.113299999999981
12037137,1866.994,1872.0155,5.02150000000006
12037407,1865.6637,1866.4099,0.7462000000000444
12037473,1853.0166,1854.8886,1.872000000000071
12037735,1855.146,1863.0957,7.949700000000121
12037811,1850.959,1859.8049,8.845900000000029
12038203,1859.3468,1859.6773,0.3305000000000291
12038298,1867.2831,1867.6996,0.41649999999981446
12039106,1872.4034,1873.4494,1.0460000000000491
12039401,1870.6495,1877.7391,7.0896000000000186
12039661,1884.3145,1885.4061,1.0915999999999713
12039800,1870.8921,1883.1919,12.299800000000005
12039858,1854.7111,1859.634,4.922900000000027
12039860,1854.7111,1855.5961,0.8849999999999909
12040051,1872.2841,1875.7379,3.453800000000001
12040370,1879.7575,1886.36,6.602499999999964
12041035,1869.0431,1871.8693,2.8261999999999716
12041091,1868.185,1870.1114,1.9264000000000578
12041333,1858.7351,1859.6502,0.9150999999999385
12041419,1847.599,1848.9854,1.3864000000000942
12041587,1808.9976,1819.0444,10.046800000000076
12041793,1786.4309,1791.2381,4.807199999999966
12041818,1781.9681,1787.6599,5.6918000000000575
12041837,1795.3773,1804.9113,9.533999999999878
12042219,1789.9721,1793.5566,3.5844999999999345
12042346,1755.7966,1769.7247,13.928100000000086
12042384,1754.9315,1766.2446,11.313100000000077
12042447,1747.8986,1749.7275,1.828899999999976
12042517,1756.7214,1761.3191,4.597700000000032
12042554,1766.711,1771.2865,4.57549999999992
12042778,1772.7271,1776.5701,3.842999999999847
12043824,1787.4866,1790.9636,3.477000000000089
12044035,1774.6129,1781.5356,6.92269999999985
12044128,1761.1423,1762.5978,1.455500000000029
12044156,1769.6244,1771.5604,1.9360000000001492
12044447,1766.2936,1767.2404,0.9467999999999392
12044786,1773.1841,1774.4287,1.2445999999999913
12044927,1780.4758,1781.5845,1.108699999999999
12045376,1800.7521,1802.4143,1.6621999999999844
12045420,1792.7458,1794.517,1.7712000000001353
12045903,1780.5675,1783.1254,2.5578999999997905
12046055,1788.4999,1794.4836,5.983699999999999
12046164,1798.0678,1803.0316,4.963799999999992
12046252,1789.9614,1793.1161,3.154700000000048
12046420,1765.982,1777.6907,11.708700000000135
12046423,1762.4598,1767.2952,4.835399999999936
12046436,1756.4761,1762.2194,5.743299999999863
12046500,1746.0286,1748.2106,2.1820000000000164
12046540,1729.6228,1734.2077,4.584899999999834
12046575,1718.5337,1728.7253,10.191600000000108
12046595,1714.2198,1721.8954,7.675600000000031
12046674,1723.6839,1729.3713,5.687400000000025
12046765,1738.6983,1740.1258,1.427500000000009
12046820,1744.2891,1749.195,4.905899999999974
12047219,1741.4692,1742.1945,0.7253000000000611
12047464,1747.4697,1747.7167,0.24699999999984357
12047845,1743.0956,1743.7438,0.6481999999998607
12047933,1746.5312,1750.0716,3.5404000000000906
12048011,1743.7556,1745.301,1.5453999999999724
12048059,1750.2648,1760.4261,10.161299999999983
12048073,1760.6636,1780.3229,19.659299999999803
12048084,1777.353,1779.45,2.09699999999998
12048259,1797.807,1798.8809,1.0739000000000942
12048340,1793.4971,1796.4457,2.948599999999942
12048468,1795.1186,1804.2166,9.097999999999956
12048498,1806.6114,1807.7309,1.1195000000000164
12049087,1794.0593,1795.9956,1.9363000000000739
12049617,1779.3213,1784.1243,4.802999999999884
12049718,1772.7175,1773.9722,1.254699999999957
12050249,1784.343,1788.5218,4.17879999999991
12050355,1791.7857,1797.5908,5.805100000000039
12050642,1802.6017,1807.7559,5.1542000000001735
12050702,1799.9219,1800.8111,0.8891999999998461
12055421,1771.9201,1774.609,2.688899999999876
12055471,1759.2693,1762.4739,3.2046000000000276
12056102,1751.8528,1757.5585,5.705700000000206
12056203,1757.1401,1760.4349,3.2947999999998956
12056429,1766.8486,1771.6005,4.751899999999978
12056647,1760.2689,1761.7737,1.504799999999932
12056763,1765.7869,1766.8482,1.0612999999998465
12056893,1755.4877,1764.6883,9.200600000000122
12056913,1763.8482,1771.7005,7.852300000000014
12057217,1774.8717,1776.3981,1.5264000000001943
12057272,1781.4647,1788.8165,7.351799999999912
12057689,1792.4461,1793.1347,0.6886000000001786
12057748,1801.0795,1803.5473,2.4677999999998974
12057874,1813.1267,1817.3889,4.262199999999893
12057987,1824.0301,1825.9872,1.9571000000000822
