txHash,max_inflation_difference,e_inflation_difference,min_deflation_difference,e_deflation_difference
0x3286e3c69b9a7514d80cb49d4d9dbe8e0693e9d5287f749cf771d26453ae1c59,-6.07386,-5.86007,7.51344,6.53777
0x202dbb55d0abaacb43c3c6b3c03a4c74aadde31304a6c1fb9ba3843a3d63e093,-2.85442,-2.75395,3.53095,3.07244
0x61fc1ff4814c8beee1e422a729e41e79cf3c46e01d00f4890173e51b258e4b5f,-8.91679,-8.60293,11.03018,9.59784
0xcdd2ab2e442ff6d1b7a349bf7048363f15a7f9dc36d6a198ac9e8f50e95b2916,-5.17869,-4.99641,6.40611,5.57423
0x788cc7c5495393069306939c1f4e7648c8822ce0ca064db5f6a4c98f9ceac0a4,-17.4956,-16.87978,21.64227,18.83188
0x75b9a691f63f5288ce21ba185e3f2b4247588a25a926b93a5142383cda09a326,-3.63083,-3.50302,4.49137,3.90814
0x726059e9692f3fa4fb7b9af62865909b8ed3fc6a82ca505cb3bb457f773f7c09,-6.50974,-6.2806,8.05262,7.00694
0xe1b37693b6ede56620715daa764c2b07eb6a63714f53e79a2e5365d1d2fc0f25,-0.66134,-0.63806,0.81808,0.71185
0xf326044386638330e632f006ad1bc028f14b7d38be378ca60e9e34053a35bc3d,-0.95433,-0.92074,1.18052,1.02722
0x5a378a8cbb0f432ba05278ace7ea6d45f40f478d2f37172fac3905a458fc3342,-69.26662,-66.82852,85.68364,74.55708
0x0ebcee63ece6c02ce6df8d94fff2477881e46fa3c1e80bd813e7a824d68ce97d,-17.91882,-17.2881,22.1658,19.28743
0xbd99bcffcfeaf81d85a32b68552f5b880490aae201dda7cfb678c1ac7107f99e,-1.57649,-1.521,1.95014,1.6969
0xfd4ff41c526780e6c32134dc64aa3aeb7169308441988d5e96f2461a0687ce85,-0.44871,-0.43292,0.55506,0.48298
